epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,803.059,2.13427,1.31293,1.71499,0.75778,0.63937,0.63423,0.27867,2.06507,1.25325,1.82756,9.61885e-05,9.61885e-05,9.61885e-05
79,810.667,2.07753,1.27425,1.67917,0.76828,0.63072,0.62419,0.24234,2.27402,1.2464,1.92811,9.6139e-05,9.6139e-05,9.6139e-05
80,818.514,2.10731,1.28806,1.69366,0.77018,0.63306,0.62724,0.23491,2.3095,1.24382,1.95863,9.60895e-05,9.60895e-05,9.60895e-05
81,825.882,2.11634,1.29523,1.69024,0.77604,0.63144,0.63639,0.26691,2.13857,1.20729,1.85591,9.604e-05,9.604e-05,9.604e-05
82,838.98,2.09801,1.28197,1.66674,0.76284,0.62087,0.61584,0.19835,2.48461,1.26098,2.05528,9.59905e-05,9.59905e-05,9.59905e-05
83,846.494,2.0898,1.25437,1.66432,0.76934,0.6477,0.64772,0.28035,2.03451,1.21772,1.80731,9.5941e-05,9.5941e-05,9.5941e-05
84,853.763,2.07448,1.28507,1.66052,0.77655,0.63144,0.63664,0.23551,2.32057,1.26134,1.97098,9.58915e-05,9.58915e-05,9.58915e-05
85,861.145,2.1066,1.27678,1.67531,0.78738,0.63804,0.65281,0.32532,1.79944,1.18145,1.68625,9.5842e-05,9.5842e-05,9.5842e-05
86,880.864,2.10351,1.2984,1.67895,0.77699,0.62087,0.62019,0.20908,2.43742,1.27685,2.03451,9.57925e-05,9.57925e-05,9.57925e-05
87,889.753,2.07837,1.26734,1.65286,0.78422,0.63373,0.64418,0.2888,2.03247,1.22961,1.79601,9.5743e-05,9.5743e-05,9.5743e-05
88,898.526,2.11979,1.29562,1.69039,0.78514,0.62748,0.64316,0.25846,2.19125,1.2731,1.88202,9.56935e-05,9.56935e-05,9.56935e-05
89,907.663,2.07009,1.27327,1.65492,0.78902,0.61753,0.63751,0.23551,2.3294,1.24836,1.95944,9.5644e-05,9.5644e-05,9.5644e-05
90,916.496,2.07172,1.25486,1.66193,0.78199,0.63408,0.65112,0.30646,1.95495,1.181,1.75204,9.55945e-05,9.55945e-05,9.55945e-05
91,924.004,2.07815,1.24714,1.6616,0.77808,0.62989,0.64006,0.24166,2.32977,1.23603,1.95781,9.5545e-05,9.5545e-05,9.5545e-05
92,933.531,2.08854,1.25843,1.68935,0.77894,0.647,0.65322,0.27876,2.12717,1.21573,1.8393,9.54955e-05,9.54955e-05,9.54955e-05
93,941.087,2.01654,1.22673,1.64794,0.78866,0.62606,0.64282,0.24521,2.3111,1.2284,1.94023,9.5446e-05,9.5446e-05,9.5446e-05
94,948.657,2.04689,1.24769,1.66199,0.79584,0.64333,0.6659,0.31565,1.92006,1.17305,1.73026,9.53965e-05,9.53965e-05,9.53965e-05
95,956.048,2.06512,1.25159,1.64781,0.78116,0.63276,0.63561,0.21225,2.46545,1.2474,2.03633,9.5347e-05,9.5347e-05,9.5347e-05
96,963.525,2.09201,1.2821,1.67579,0.79073,0.64201,0.661,0.31303,1.9256,1.17304,1.74003,9.52975e-05,9.52975e-05,9.52975e-05
97,972.076,2.05521,1.23942,1.64881,0.74875,0.62748,0.61743,0.19921,2.48635,1.26705,2.06563,9.5248e-05,9.5248e-05,9.5248e-05
98,979.714,2.03752,1.22894,1.63121,0.76553,0.6354,0.62355,0.20126,2.54627,1.27385,2.11295,9.51985e-05,9.51985e-05,9.51985e-05
99,987.991,2.0536,1.22851,1.65203,0.78298,0.64817,0.6514,0.28311,2.04723,1.20041,1.79765,9.5149e-05,9.5149e-05,9.5149e-05
100,997.794,2.03607,1.23324,1.63727,0.7858,0.65654,0.65655,0.28841,2.05066,1.20013,1.79476,9.50995e-05,9.50995e-05,9.50995e-05
101,1008.31,2.02851,1.22891,1.63105,0.78605,0.65522,0.65699,0.29123,2.03625,1.18756,1.79045,9.505e-05,9.505e-05,9.505e-05
102,1018.02,2.03013,1.24193,1.6507,0.79495,0.66066,0.67192,0.31277,1.92064,1.16238,1.73086,9.50005e-05,9.50005e-05,9.50005e-05
103,1027.23,2.06297,1.24505,1.64524,0.80565,0.65522,0.67128,0.31269,1.93496,1.15392,1.74288,9.4951e-05,9.4951e-05,9.4951e-05
104,1037.14,2.03776,1.2245,1.63746,0.81056,0.6539,0.67883,0.30645,1.95201,1.15843,1.74654,9.49015e-05,9.49015e-05,9.49015e-05
105,1046.96,2.01893,1.22349,1.62999,0.81779,0.64333,0.67275,0.29762,2.02931,1.16706,1.78103,9.4852e-05,9.4852e-05,9.4852e-05
106,1056.37,2.01562,1.20353,1.632,0.81249,0.64682,0.66782,0.29161,2.04061,1.16342,1.79082,9.48025e-05,9.48025e-05,9.48025e-05
107,1065.76,2.04151,1.21253,1.64382,0.81896,0.65654,0.68066,0.32764,1.84036,1.12951,1.68937,9.4753e-05,9.4753e-05,9.4753e-05
108,1076.11,1.99825,1.20265,1.63288,0.8228,0.6539,0.68291,0.31789,1.91581,1.14311,1.71986,9.47035e-05,9.47035e-05,9.47035e-05
109,1085.11,1.99936,1.18054,1.61757,0.80898,0.64333,0.67004,0.28199,2.08569,1.15956,1.8106,9.4654e-05,9.4654e-05,9.4654e-05
110,1094.59,1.97902,1.19084,1.61231,0.77845,0.64333,0.64599,0.2071,2.50171,1.25849,2.07828,9.46045e-05,9.46045e-05,9.46045e-05
111,1104.35,2.00687,1.19786,1.61217,0.77755,0.6354,0.64603,0.20619,2.52182,1.25184,2.09058,9.4555e-05,9.4555e-05,9.4555e-05
112,1117.44,1.97499,1.19503,1.59503,0.80208,0.64861,0.66616,0.28724,2.05319,1.15717,1.79237,9.45055e-05,9.45055e-05,9.45055e-05
113,1130.23,1.98198,1.2021,1.61926,0.8135,0.64465,0.65902,0.24746,2.30895,1.18751,1.93933,9.4456e-05,9.4456e-05,9.4456e-05
114,1140.68,1.97408,1.16973,1.59747,0.79584,0.64729,0.66341,0.27938,2.09352,1.15401,1.81307,9.44065e-05,9.44065e-05,9.44065e-05
115,1155.29,1.96899,1.18452,1.59306,0.7753,0.61988,0.62608,0.18641,2.59041,1.23312,2.11908,9.4357e-05,9.4357e-05,9.4357e-05
116,1172.95,1.98573,1.18156,1.60875,0.82253,0.65513,0.67428,0.31811,1.89432,1.12502,1.71311,9.43075e-05,9.43075e-05,9.43075e-05
117,1189.44,1.96587,1.16534,1.60163,0.81567,0.65654,0.67431,0.29679,2.02682,1.14628,1.77734,9.4258e-05,9.4258e-05,9.4258e-05
118,1207.78,2.01428,1.18365,1.61947,0.78566,0.6288,0.64491,0.2086,2.51026,1.21288,2.07801,9.42085e-05,9.42085e-05,9.42085e-05
119,1223.5,1.95053,1.17924,1.59516,0.80067,0.64201,0.66796,0.28201,2.06685,1.14615,1.79548,9.4159e-05,9.4159e-05,9.4159e-05
120,1240.39,1.99597,1.18955,1.60725,0.81155,0.65918,0.68342,0.2809,2.12107,1.14783,1.82921,9.41095e-05,9.41095e-05,9.41095e-05
121,1258.51,1.9966,1.18202,1.63131,0.80706,0.66309,0.68488,0.33079,1.84122,1.12163,1.68038,9.406e-05,9.406e-05,9.406e-05
122,1281.2,1.99218,1.15529,1.59485,0.79473,0.65786,0.67361,0.27316,2.17408,1.16885,1.85759,9.40105e-05,9.40105e-05,9.40105e-05
123,1297.04,1.95394,1.16349,1.58511,0.80039,0.66213,0.68324,0.27303,2.13756,1.15963,1.83741,9.3961e-05,9.3961e-05,9.3961e-05
124,1312.81,1.95014,1.1473,1.57254,0.81968,0.66056,0.68323,0.26624,2.20909,1.17192,1.88442,9.39115e-05,9.39115e-05,9.39115e-05
125,1328.41,1.95711,1.14287,1.57684,0.80848,0.64861,0.67409,0.27238,2.18145,1.15981,1.85893,9.3862e-05,9.3862e-05,9.3862e-05
126,1344.09,1.96597,1.15251,1.58439,0.81929,0.65882,0.68402,0.31424,1.90795,1.11738,1.71244,9.38125e-05,9.38125e-05,9.38125e-05
127,1366.82,1.9689,1.16092,1.60605,0.79559,0.65125,0.66438,0.24063,2.30486,1.19367,1.94169,9.3763e-05,9.3763e-05,9.3763e-05
128,1376.63,1.94135,1.15628,1.58493,0.81899,0.66579,0.68757,0.32282,1.87361,1.10594,1.69889,9.37135e-05,9.37135e-05,9.37135e-05
129,1386.03,1.9251,1.13419,1.57623,0.8107,0.66446,0.68576,0.27562,2.13658,1.15851,1.84424,9.3664e-05,9.3664e-05,9.3664e-05
130,1395.55,1.96831,1.15797,1.60307,0.82265,0.67107,0.69739,0.34418,1.80242,1.08595,1.65911,9.36145e-05,9.36145e-05,9.36145e-05
131,1406.57,1.93729,1.12593,1.59168,0.83187,0.66975,0.7006,0.30672,1.99331,1.11336,1.75388,9.3565e-05,9.3565e-05,9.3565e-05
132,1417.6,1.91332,1.13032,1.56162,0.82174,0.66711,0.69023,0.30978,1.97568,1.11301,1.74836,9.35155e-05,9.35155e-05,9.35155e-05
133,1427.28,1.9125,1.11795,1.54884,0.82833,0.66927,0.70166,0.33225,1.85135,1.08982,1.68566,9.3466e-05,9.3466e-05,9.3466e-05
134,1436.69,1.93571,1.13762,1.55654,0.82062,0.66975,0.68859,0.3156,1.9459,1.11408,1.73708,9.34165e-05,9.34165e-05,9.34165e-05
135,1446.29,1.93801,1.14268,1.57581,0.82518,0.67107,0.69742,0.32894,1.87302,1.09448,1.69732,9.3367e-05,9.3367e-05,9.3367e-05
136,1455.7,1.92716,1.15395,1.57612,0.81961,0.66024,0.69269,0.30167,2.02684,1.11054,1.77668,9.33175e-05,9.33175e-05,9.33175e-05
137,1464.97,1.92042,1.12009,1.56589,0.81981,0.67313,0.69507,0.31847,1.91481,1.10256,1.71345,9.3268e-05,9.3268e-05,9.3268e-05
138,1474.87,1.88948,1.11783,1.53073,0.80355,0.6539,0.67552,0.22429,2.41138,1.2145,2.03075,9.32185e-05,9.32185e-05,9.32185e-05
139,1489.22,1.94195,1.14335,1.56675,0.80845,0.67107,0.69413,0.31412,1.9436,1.11814,1.73496,9.3169e-05,9.3169e-05,9.3169e-05
140,1500.33,1.92084,1.14435,1.5771,0.80891,0.67662,0.70263,0.32475,1.91766,1.07794,1.71756,9.31195e-05,9.31195e-05,9.31195e-05
141,1512.81,1.91494,1.14078,1.55497,0.79108,0.65125,0.67777,0.25004,2.284,1.16331,1.93793,9.307e-05,9.307e-05,9.307e-05
142,1532.04,1.91842,1.13415,1.5549,0.79912,0.67791,0.70391,0.32176,1.93544,1.10934,1.73123,9.30205e-05,9.30205e-05,9.30205e-05
143,1549.91,1.92602,1.12825,1.57273,0.8031,0.679,0.69684,0.29268,2.08171,1.11741,1.80915,9.2971e-05,9.2971e-05,9.2971e-05
144,1567.23,1.92887,1.1399,1.56986,0.82204,0.67503,0.70473,0.3558,1.73481,1.05611,1.62615,9.29215e-05,9.29215e-05,9.29215e-05
145,1584.56,1.89219,1.12136,1.54978,0.81303,0.67635,0.70754,0.34842,1.7919,1.06765,1.65273,9.2872e-05,9.2872e-05,9.2872e-05
146,1601.17,1.88863,1.10189,1.54189,0.78201,0.679,0.68215,0.24698,2.33802,1.1753,1.97718,9.28225e-05,9.28225e-05,9.28225e-05
147,1620.74,1.90385,1.11452,1.54231,0.78497,0.68032,0.69176,0.27081,2.20065,1.1544,1.87913,9.2773e-05,9.2773e-05,9.2773e-05
148,1636.77,1.91387,1.12299,1.54228,0.80483,0.67547,0.70626,0.27849,2.15712,1.14503,1.85416,9.27235e-05,9.27235e-05,9.27235e-05
149,1652.89,1.8848,1.11127,1.53714,0.81265,0.67042,0.70512,0.34058,1.84104,1.10261,1.67119,9.2674e-05,9.2674e-05,9.2674e-05
150,1669.46,1.92712,1.14054,1.59194,0.81455,0.67635,0.70717,0.30905,2.0039,1.11793,1.75883,9.26245e-05,9.26245e-05,9.26245e-05
151,1685.56,1.93941,1.14124,1.59158,0.80857,0.68074,0.71076,0.34805,1.78551,1.08091,1.64515,9.2575e-05,9.2575e-05,9.2575e-05
152,1703.99,1.90082,1.14095,1.56181,0.78759,0.6605,0.6769,0.25329,2.27352,1.15206,1.91673,9.25255e-05,9.25255e-05,9.25255e-05
153,1713.15,1.90645,1.12099,1.55042,0.81112,0.66711,0.69548,0.26981,2.20477,1.15358,1.88391,9.2476e-05,9.2476e-05,9.2476e-05
154,1726.27,1.87588,1.09921,1.53637,0.79147,0.67371,0.69271,0.27984,2.16191,1.15514,1.86216,9.24265e-05,9.24265e-05,9.24265e-05
155,1737.59,1.88559,1.12367,1.53873,0.80157,0.68428,0.70924,0.32638,1.91809,1.11351,1.71636,9.2377e-05,9.2377e-05,9.2377e-05
156,1747.55,1.88061,1.11035,1.53514,0.8071,0.69089,0.7112,0.31585,1.98002,1.09086,1.75141,9.23275e-05,9.23275e-05,9.23275e-05
157,1757.66,1.90188,1.12154,1.55112,0.81735,0.68296,0.71888,0.32849,1.90406,1.06499,1.70531,9.2278e-05,9.2278e-05,9.2278e-05
158,1776.37,1.86668,1.10346,1.53915,0.81345,0.68545,0.72053,0.34971,1.78947,1.05992,1.64523,9.22285e-05,9.22285e-05,9.22285e-05
159,1786.03,1.84169,1.11247,1.51559,0.80625,0.66975,0.70707,0.27042,2.21298,1.12769,1.90156,9.2179e-05,9.2179e-05,9.2179e-05
160,1795.63,1.90864,1.11865,1.54654,0.80563,0.68441,0.71892,0.34819,1.81489,1.06589,1.65695,9.21295e-05,9.21295e-05,9.21295e-05
161,1805.03,1.89923,1.1157,1.53934,0.81182,0.67107,0.70697,0.28996,2.10324,1.13095,1.81764,9.208e-05,9.208e-05,9.208e-05
162,1814.99,1.86921,1.09986,1.532,0.82066,0.68692,0.71813,0.35087,1.81147,1.08105,1.65406,9.20305e-05,9.20305e-05,9.20305e-05
163,1823.91,1.85637,1.0876,1.52856,0.81249,0.68428,0.71726,0.30867,2.02029,1.0875,1.77229,9.1981e-05,9.1981e-05,9.1981e-05
164,1838.03,1.92651,1.1261,1.57408,0.81918,0.68227,0.71902,0.33314,1.90744,1.05335,1.70422,9.19315e-05,9.19315e-05,9.19315e-05
165,1852.99,1.89122,1.09097,1.5504,0.8293,0.67388,0.71968,0.32938,1.88242,1.04651,1.70087,9.1882e-05,9.1882e-05,9.1882e-05
166,1863.4,1.86386,1.09675,1.54281,0.80777,0.68276,0.70387,0.26897,2.1981,1.12468,1.87424,9.18325e-05,9.18325e-05,9.18325e-05
167,1882.73,1.88813,1.10171,1.55074,0.81293,0.6856,0.71326,0.32272,1.94604,1.08447,1.72627,9.1783e-05,9.1783e-05,9.1783e-05
168,1899.85,1.86868,1.10407,1.54324,0.82041,0.68795,0.72748,0.33477,1.89929,1.0751,1.70039,9.17335e-05,9.17335e-05,9.17335e-05
